iter	Passed	Remaining
0	1	103
1	1	92
2	3	111
3	4	116
4	6	124
5	7	123
6	9	119
7	10	120
8	11	117
9	12	113
10	14	114
11	15	111
12	16	110
13	17	109
14	18	106
15	19	103
16	21	103
17	22	100
18	23	99
19	24	97
20	25	94
21	26	92
22	27	90
23	28	90
24	29	89
25	31	88
26	32	86
27	33	86
28	34	85
29	35	83
30	37	82
31	38	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	73
38	46	72
39	48	72
40	48	70
41	49	68
42	50	66
43	51	65
44	53	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	60	57
51	61	56
52	63	56
53	65	55
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	78	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	85	34
71	85	33
72	86	32
73	87	30
74	88	29
75	88	28
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	101	10
91	102	8
92	103	7
93	105	6
94	106	5
95	107	4
96	107	3
97	108	2
98	109	1
99	110	0
